"filename", "language", "JSON", "Markdown", "Ignore", "TypeScript", "HTML", "TypeScript React", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.base.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 7, 7, 47
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.eslint.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 0, 1, 2, 5
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.main.prod.babel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 17, 13, 76
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.renderer.dev.babel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 242, 0, 26, 17, 285
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.renderer.dev.dll.babel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 15, 15, 73
"c:\Users\legod\Code\modmaker\.erb\configs\webpack.config.renderer.prod.babel.js", "JavaScript", 0, 0, 0, 0, 0, 0, 129, 0, 20, 14, 163
"c:\Users\legod\Code\modmaker\.erb\mocks\fileMock.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\legod\Code\modmaker\.erb\scripts\BabelRegister.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"c:\Users\legod\Code\modmaker\.erb\scripts\CheckBuildsExist.js", "JavaScript", 0, 0, 0, 0, 0, 0, 21, 0, 1, 4, 26
"c:\Users\legod\Code\modmaker\.erb\scripts\CheckNativeDep.js", "JavaScript", 0, 0, 0, 0, 0, 0, 48, 0, 3, 2, 53
"c:\Users\legod\Code\modmaker\.erb\scripts\CheckNodeEnv.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\legod\Code\modmaker\.erb\scripts\CheckPortInUse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\legod\Code\modmaker\.erb\scripts\DeleteSourceMaps.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 3, 1, 8
"c:\Users\legod\Code\modmaker\.erb\scripts\ElectronRebuild.js", "JavaScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\legod\Code\modmaker\.erb\scripts\Notarize.js", "JavaScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\legod\Code\modmaker\.eslintignore", "Ignore", 0, 0, 35, 0, 0, 0, 0, 0, 12, 13, 60
"c:\Users\legod\Code\modmaker\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 0, 2, 1, 31
"c:\Users\legod\Code\modmaker\CHANGELOG.md", "Markdown", 0, 341, 0, 0, 0, 0, 0, 0, 0, 193, 534
"c:\Users\legod\Code\modmaker\CODE_OF_CONDUCT.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\legod\Code\modmaker\README.md", "Markdown", 0, 124, 0, 0, 0, 0, 0, 0, 0, 34, 158
"c:\Users\legod\Code\modmaker\assets\icons.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 21, 1, 2, 24
"c:\Users\legod\Code\modmaker\assets\roboto.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 224, 28, 1, 253
"c:\Users\legod\Code\modmaker\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 8, 12, 63
"c:\Users\legod\Code\modmaker\package-lock.json", "JSON", 40194, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40195
"c:\Users\legod\Code\modmaker\package.json", "JSON", 83, 0, 0, 0, 0, 0, 0, 0, 197, 0, 280
"c:\Users\legod\Code\modmaker\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 154, 0, 0, 3, 7, 164
"c:\Users\legod\Code\modmaker\src\DataManager.ts", "TypeScript", 0, 0, 0, 190, 0, 0, 0, 0, 0, 19, 209
"c:\Users\legod\Code\modmaker\src\DataManagerType.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\legod\Code\modmaker\src\Project.ts", "TypeScript", 0, 0, 0, 133, 0, 0, 0, 0, 0, 21, 154
"c:\Users\legod\Code\modmaker\src\Settings.tsx", "TypeScript React", 0, 0, 0, 0, 0, 75, 0, 0, 0, 5, 80
"c:\Users\legod\Code\modmaker\src\__tests__\App.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\legod\Code\modmaker\src\completionItem.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 0, 0, 0, 13, 92
"c:\Users\legod\Code\modmaker\src\components\AddInnerField.tsx", "TypeScript React", 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 45
"c:\Users\legod\Code\modmaker\src\components\AddMod.tsx", "TypeScript React", 0, 0, 0, 0, 0, 50, 0, 0, 1, 2, 53
"c:\Users\legod\Code\modmaker\src\components\DefDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 79, 0, 0, 1, 3, 83
"c:\Users\legod\Code\modmaker\src\components\DefFieldDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 237, 0, 0, 2, 9, 248
"c:\Users\legod\Code\modmaker\src\components\DefTypeList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 74, 0, 0, 0, 4, 78
"c:\Users\legod\Code\modmaker\src\components\FieldDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 62, 0, 0, 0, 4, 66
"c:\Users\legod\Code\modmaker\src\components\Landing.tsx", "TypeScript React", 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 60
"c:\Users\legod\Code\modmaker\src\components\Loading.tsx", "TypeScript React", 0, 0, 0, 0, 0, 98, 0, 0, 1, 3, 102
"c:\Users\legod\Code\modmaker\src\components\MainAppToolbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 44, 0, 0, 0, 3, 47
"c:\Users\legod\Code\modmaker\src\components\ManifestDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 196, 0, 0, 0, 2, 198
"c:\Users\legod\Code\modmaker\src\components\MetaDefFields.tsx", "TypeScript React", 0, 0, 0, 0, 0, 92, 0, 0, 0, 3, 95
"c:\Users\legod\Code\modmaker\src\components\ModDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 179, 0, 0, 1, 2, 182
"c:\Users\legod\Code\modmaker\src\components\PathedCheckbox.tsx", "TypeScript React", 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\legod\Code\modmaker\src\components\ProjectDisplay.tsx", "TypeScript React", 0, 0, 0, 0, 0, 114, 0, 0, 3, 10, 127
"c:\Users\legod\Code\modmaker\src\components\Sidebar1.tsx", "TypeScript React", 0, 0, 0, 0, 0, 78, 0, 0, 0, 6, 84
"c:\Users\legod\Code\modmaker\src\components\Sidebar2.tsx", "TypeScript React", 0, 0, 0, 0, 0, 140, 0, 0, 0, 7, 147
"c:\Users\legod\Code\modmaker\src\components\SimpleAutocomplete.tsx", "TypeScript React", 0, 0, 0, 0, 0, 61, 0, 0, 2, 5, 68
"c:\Users\legod\Code\modmaker\src\components\SimpleText.tsx", "TypeScript React", 0, 0, 0, 0, 0, 63, 0, 0, 1, 4, 68
"c:\Users\legod\Code\modmaker\src\components\SingleFieldInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 187, 0, 0, 0, 9, 196
"c:\Users\legod\Code\modmaker\src\components\TextModal.tsx", "TypeScript React", 0, 0, 0, 0, 0, 152, 0, 0, 1, 10, 163
"c:\Users\legod\Code\modmaker\src\fileLoadSaver.ts", "TypeScript", 0, 0, 0, 339, 0, 0, 0, 0, 2, 20, 361
"c:\Users\legod\Code\modmaker\src\index.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 49
"c:\Users\legod\Code\modmaker\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 7
"c:\Users\legod\Code\modmaker\src\main.dev.ts", "TypeScript", 0, 0, 0, 300, 0, 0, 0, 0, 34, 33, 367
"c:\Users\legod\Code\modmaker\src\menu.ts", "TypeScript", 0, 0, 0, 293, 0, 0, 0, 0, 0, 15, 308
"c:\Users\legod\Code\modmaker\src\package.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\legod\Code\modmaker\src\parser\XMLParser.ts", "TypeScript", 0, 0, 0, 200, 0, 0, 0, 0, 30, 16, 246
"c:\Users\legod\Code\modmaker\src\parser\XMLScanner.ts", "TypeScript", 0, 0, 0, 471, 0, 0, 0, 0, 54, 36, 561
"c:\Users\legod\Code\modmaker\src\prefs.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\legod\Code\modmaker\src\theme.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"c:\Users\legod\Code\modmaker\src\util.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 1, 9, 79
"c:\Users\legod\Code\modmaker\tsconfig.dev.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\legod\Code\modmaker\tsconfig.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 34
"Total", "-", 40332, 522, 35, 2122, 45, 2279, 716, 245, 481, 677, 47454